Municipio;Latitud;Longitud;Altitud;Temperatura_Max;Temperatura_Min
bogota,  d,c,;4,315950516941901;-74,18077289726706;3536,0;11,9;4,8
soacha;4,538824995354506;-74,22916685961722;2618,0;17,7;10,6
chia;4,865528470687079;-74,0368835351598;2552,0;19,4;7,9
zipaquira;5,0460648531144;-74,02020453110615;3022,0;16,5;8,3
cajica;4,931298815509771;-74,02911970116229;2563,0;19,4;7,8
facatativa;4,833417276902993;-74,33750085565407;2708,0;21,5;11,8
madrid;4,77251609884129;-74,2595587271301;2559,0;21,9;12,3
funza;4,742515127231381;-74,19766533625909;2552,0;22,0;12,3
sopo;4,888508451117973;-73,9660781709014;2557,0;19,4;7,8

